id	label	description	synonyms	node_url	is_root	parent_url
FBbt:00110258	VA3 motor neuron	Motor neuron that innervates the external ventral acute muscle 3.	CoR	http://purl.obolibrary.org/obo/FBbt_00110258	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110258/hierarchicalParents
FBbt:00007675	embryonic/larval motor neuron	Any motor neuron (FBbt:00005123) that is part of some embryonic/larval nervous system (FBbt:00001911).		http://purl.obolibrary.org/obo/FBbt_00007675	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00007675/hierarchicalParents
FBbt:00001911	embryonic/larval nervous system	Nervous system of the embryo/larva.	larval nervous system	http://purl.obolibrary.org/obo/FBbt_00001911	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00001911/hierarchicalParents
FBbt:00110259	ventral acute muscle 3	Second-most dorsal of the ventral acute muscles.	VA3 muscle	http://purl.obolibrary.org/obo/FBbt_00110259	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00110259/hierarchicalParents
FBbt:00111589	adult abdominal segment 6 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 6 (FBbt:00003030).		http://purl.obolibrary.org/obo/FBbt_00111589	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111589/hierarchicalParents
FBbt:00111583	adult abdominal segment anterior compartment	Any adult segment anterior compartment (FBbt:00111573) that is part of some adult abdominal segment (FBbt:00003024).		http://purl.obolibrary.org/obo/FBbt_00111583	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111583/hierarchicalParents
FBbt:00003030	adult abdominal segment 6	Any abdominal segment 6 (FBbt:00000027) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003030	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003030/hierarchicalParents
FBbt:00000477	ventral acute muscle	A laterally located hypodermal muscle of the embryonic/larval musculature that runs from a dorsal posterior muscle attachment site to a ventral anterior one.		http://purl.obolibrary.org/obo/FBbt_00000477	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00000477/hierarchicalParents
FBbt:00111588	adult abdominal segment 5 anterior compartment	Any adult abdominal segment anterior compartment (FBbt:00111583) that is part of some adult abdominal segment 5 (FBbt:00003029).		http://purl.obolibrary.org/obo/FBbt_00111588	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00111588/hierarchicalParents
FBbt:00003029	adult abdominal segment 5	Any abdominal segment 5 (FBbt:00000026) that is part of some adult abdomen (FBbt:00003023).		http://purl.obolibrary.org/obo/FBbt_00003029	False	https://www.ebi.ac.uk/ols/api/ontologies/fbbt/terms/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FFBbt_00003029/hierarchicalParents
