	ancestors	id	node_level
0	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['CHEBI:24431', 'FBcv:0000525'], 5: ['CHEBI:23367'], 6: ['CHEBI:33579'], 7: ['CHEBI:33675'], 8: ['CHEBI:33582'], 9: ['CHEBI:50860'], 10: ['CHEBI:64709']}	CHEBI:64709	10.0
1	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['CHEBI:24431', 'FBcv:0000525'], 5: ['CHEBI:23367'], 6: ['CHEBI:33579'], 7: ['CHEBI:33675'], 8: ['CHEBI:33582'], 9: ['CHEBI:50860']}	CHEBI:50860	9.0
2	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['CHEBI:24431', 'FBcv:0000525'], 5: ['CHEBI:23367'], 6: ['CHEBI:33579'], 7: ['CHEBI:33675'], 8: ['CHEBI:33582'], 9: ['CHEBI:50860'], 10: ['CHEBI:64708']}	CHEBI:64708	10.0
3	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['CHEBI:24431', 'FBcv:0000525'], 5: ['FBcv:0000558']}	FBcv:0000558	5.0
4	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['FBcv:0000525']}	FBcv:0000525	4.0
5	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['CHEBI:24431']}	CHEBI:24431	4.0
6	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['CHEBI:24431', 'FBcv:0000525'], 5: ['CHEBI:23367', 'FBcv:0000558'], 6: ['CHEBI:33579', 'CHEBI:36357', 'FBcv:0000559'], 7: ['CHEBI:33675', 'CHEBI:33595'], 8: ['CHEBI:33582', 'CHEBI:33304', 'CHEBI:5686'], 9: ['CHEBI:50860', 'CHEBI:36962', 'CHEBI:25806', 'CHEBI:24532'], 10: ['CHEBI:33285', 'CHEBI:36963', 'CHEBI:38104', 'CHEBI:33832'], 11: ['CHEBI:36962', 'CHEBI:38104', 'CHEBI:37407', 'CHEBI:24532', 'CHEBI:25698'], 12: ['CHEBI:36963', 'CHEBI:37407', 'CHEBI:32955', 'CHEBI:38104'], 13: ['CHEBI:38104', 'CHEBI:32955', 'FBcv:0000559', 'CHEBI:37407', 'CHEBI:25698'], 14: ['CHEBI:37407', 'FBcv:0000559', 'CHEBI:32955'], 15: ['CHEBI:32955', 'FBcv:0000559'], 16: ['FBcv:0000559']}	FBcv:0000559	16.0
7	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['CHEBI:24431', 'FBcv:0000525'], 5: ['CHEBI:23367'], 6: ['CHEBI:33579', 'CHEBI:36357'], 7: ['CHEBI:33675', 'CHEBI:33595'], 8: ['CHEBI:33582', 'CHEBI:33304', 'CHEBI:5686'], 9: ['CHEBI:50860', 'CHEBI:36962', 'CHEBI:25806', 'CHEBI:24532'], 10: ['CHEBI:33285', 'CHEBI:36963', 'CHEBI:38104', 'CHEBI:33832'], 11: ['CHEBI:36962', 'CHEBI:38104', 'CHEBI:37407', 'CHEBI:24532', 'CHEBI:25698'], 12: ['CHEBI:36963', 'CHEBI:37407', 'CHEBI:32955', 'CHEBI:38104'], 13: ['CHEBI:38104', 'CHEBI:32955', 'CHEBI:37407', 'CHEBI:25698'], 14: ['CHEBI:37407', 'CHEBI:32955'], 15: ['CHEBI:32955']}	CHEBI:32955	15.0
8	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['CHEBI:24431', 'FBcv:0000525'], 5: ['CHEBI:33250'], 6: ['CHEBI:25585']}	CHEBI:25585	6.0
9	{0: ['FBcv:0000000'], 1: ['FBcv:0000013'], 2: ['FBcv:0000807'], 3: ['FBcv:0000452'], 4: ['CHEBI:24431', 'FBcv:0000525'], 5: ['CHEBI:33250']}	CHEBI:33250	5.0
