	ancestors	id	node_level
0	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000575'], 3: ['WBPhenotype:0000613'], 4: ['WBPhenotype:0000983']}	WBPhenotype:0000983	4
1	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000575'], 3: ['WBPhenotype:0000613']}	WBPhenotype:0000613	3
2	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000530', 'WBPhenotype:0000529'], 3: ['WBPhenotype:0000617', 'WBPhenotype:0000705'], 4: ['WBPhenotype:0000708', 'WBPhenotype:0001831'], 5: ['WBPhenotype:0000705'], 6: ['WBPhenotype:0001831']}	WBPhenotype:0001831	6
3	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000530', 'WBPhenotype:0000529'], 3: ['WBPhenotype:0000617', 'WBPhenotype:0000705'], 4: ['WBPhenotype:0000708'], 5: ['WBPhenotype:0000705']}	WBPhenotype:0000705	5
4	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000738'], 5: ['WBPhenotype:0001830']}	WBPhenotype:0001830	5
5	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000738']}	WBPhenotype:0000738	4
6	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000521'], 2: ['WBPhenotype:0000278'], 3: ['WBPhenotype:0000786'], 4: ['WBPhenotype:0000984']}	WBPhenotype:0000984	4
7	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000521'], 2: ['WBPhenotype:0000278'], 3: ['WBPhenotype:0000786']}	WBPhenotype:0000786	3
8	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000738'], 5: ['WBPhenotype:0000523'], 6: ['WBPhenotype:0000631'], 7: ['WBPhenotype:0000010', 'WBPhenotype:0001290'], 8: ['WBPhenotype:0000500']}	WBPhenotype:0000500	8
9	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000738'], 5: ['WBPhenotype:0000523'], 6: ['WBPhenotype:0000631'], 7: ['WBPhenotype:0001290']}	WBPhenotype:0001290	7
10	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000738'], 5: ['WBPhenotype:0000523'], 6: ['WBPhenotype:0000631'], 7: ['WBPhenotype:0000010']}	WBPhenotype:0000010	7
11	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000529'], 3: ['WBPhenotype:0000774'], 4: ['WBPhenotype:0000894'], 5: ['WBPhenotype:0000670'], 6: ['WBPhenotype:0000981']}	WBPhenotype:0000981	6
12	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000529'], 3: ['WBPhenotype:0000774'], 4: ['WBPhenotype:0000894'], 5: ['WBPhenotype:0000670']}	WBPhenotype:0000670	5
13	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000518'], 2: ['WBPhenotype:0000529'], 3: ['WBPhenotype:0000774'], 4: ['WBPhenotype:0000894'], 5: ['WBPhenotype:0000670'], 6: ['WBPhenotype:0000982']}	WBPhenotype:0000982	6
14	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576', 'WBPhenotype:0000536'], 3: ['WBPhenotype:0000577', 'WBPhenotype:0000585'], 4: ['WBPhenotype:0000027', 'WBPhenotype:0000732'], 5: ['WBPhenotype:0000463', 'WBPhenotype:0000503'], 6: ['WBPhenotype:0000732'], 7: ['WBPhenotype:0000503']}	WBPhenotype:0000503	7
15	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576', 'WBPhenotype:0000536'], 3: ['WBPhenotype:0000577', 'WBPhenotype:0000585'], 4: ['WBPhenotype:0000027', 'WBPhenotype:0000732'], 5: ['WBPhenotype:0000463'], 6: ['WBPhenotype:0000732']}	WBPhenotype:0000732	6
16	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000987']}	WBPhenotype:0000987	3
17	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536']}	WBPhenotype:0000536	2
18	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0001835']}	WBPhenotype:0001835	5
19	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027']}	WBPhenotype:0000027	4
20	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000717'], 6: ['WBPhenotype:0000113'], 7: ['WBPhenotype:0000028'], 8: ['WBPhenotype:0001834']}	WBPhenotype:0001834	8
21	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000576'], 3: ['WBPhenotype:0000577'], 4: ['WBPhenotype:0000027'], 5: ['WBPhenotype:0000717'], 6: ['WBPhenotype:0000113'], 7: ['WBPhenotype:0000028']}	WBPhenotype:0000028	7
22	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000504']}	WBPhenotype:0000504	3
23	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000988']}	WBPhenotype:0000988	3
24	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0001833']}	WBPhenotype:0001833	3
25	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000519'], 2: ['WBPhenotype:0000536'], 3: ['WBPhenotype:0000985']}	WBPhenotype:0000985	3
26	{0: ['WBPhenotype:0000886'], 1: ['WBPhenotype:0000517'], 2: ['WBPhenotype:0000525'], 3: ['WBPhenotype:0001206'], 4: ['WBPhenotype:0000643'], 5: ['WBPhenotype:0004017'], 6: ['WBPhenotype:0000645'], 7: ['WBPhenotype:0000501']}	WBPhenotype:0000501	7
